Vino_ID;fixed acidity;volatile acidity;residual sugar;chlorides;total sulfur dioxide;density;alcohol;quality
Vino_0001;7.0;0.27;20.7;0.045;170.0;1.001;8.8;6
Vino_0002;6.3;0.3;1.6;0.049;132.0;0.994;9.5;6
Vino_0003;8.1;0.28;6.9;0.05;97.0;0.9951;10.1;6
Vino_0004;7.2;0.23;8.5;0.058;186.0;0.9956;9.9;6
Vino_0005;7.2;0.23;8.5;0.058;186.0;0.9956;9.9;6
Vino_0006;8.1;0.28;6.9;0.05;97.0;0.9951;10.1;6
Vino_0007;6.2;0.32;7.0;0.045;136.0;0.9949;9.6;6
Vino_0008;7.0;0.27;20.7;0.045;170.0;1.001;8.8;6
Vino_0009;6.3;0.3;1.6;0.049;132.0;0.994;9.5;6
Vino_0010;8.1;0.22;1.5;0.044;129.0;0.9938;11.0;6
Vino_0011;8.1;0.27;1.45;0.033;63.0;0.9908;12.0;5
Vino_0012;8.6;0.23;4.2;0.035;109.0;0.9947;9.7;5
Vino_0013;7.9;0.18;1.2;0.04;75.0;0.992;10.8;5
Vino_0014;6.6;0.16;1.5;0.044;143.0;0.9912;12.4;7
Vino_0015;8.3;0.42;19.25;0.04;172.0;1.0002;9.7;5
Vino_0016;6.6;0.17;1.5;0.032;112.0;0.9914;11.4;7
Vino_0017;6.3;0.48;1.1;0.046;99.0;0.9928;9.6;6
Vino_0018;6.2;0.66;1.2;0.029;75.0;0.9892;12.8;8
Vino_0019;7.4;0.34;1.1;0.033;171.0;0.9917;11.3;6
Vino_0020;6.5;0.31;7.5;0.044;133.0;0.9955;9.5;5
Vino_0021;6.2;0.66;1.2;0.029;75.0;0.9892;12.8;8
Vino_0022;6.4;0.31;2.9;0.038;102.0;0.9912;11.0;7
Vino_0023;6.8;0.26;1.7;0.049;122.0;0.993;10.5;8
Vino_0024;7.6;0.67;1.5;0.074;168.0;0.9937;9.3;5
Vino_0025;6.6;0.27;1.3;0.052;142.0;0.9951;10.0;6
Vino_0026;7.0;0.25;9.0;0.046;245.0;0.9955;10.4;6
Vino_0027;6.9;0.24;1.0;0.052;146.0;0.993;10.0;6
Vino_0028;7.0;0.28;8.7;0.051;141.0;0.9961;10.5;6
Vino_0029;7.4;0.27;1.1;0.047;132.0;0.9914;11.6;6
Vino_0030;7.2;0.32;2.0;0.033;114.0;0.9906;12.3;7
Vino_0031;8.5;0.24;10.4;0.044;142.0;0.9974;10.0;6
Vino_0032;8.3;0.14;1.1;0.042;47.0;0.9934;10.2;6
