make;model;year;engine_fuel_type;engine_hp;engine_cylinders;transmission_type;vehicle_style;highway_mpg;city_mpg;msrp;car_id
BMW;1 Series M;2011;premium unleaded (required);335.0;6.0;MANUAL;Coupe;26;19;46135;BMW 1 Series M 2011
BMW;1 Series;2011;premium unleaded (required);300.0;6.0;MANUAL;Convertible;28;19;40650;BMW 1 Series 2011
BMW;1 Series;2012;premium unleaded (required);230.0;6.0;MANUAL;Coupe;28;18;31200;BMW 1 Series 2012
BMW;1 Series;2013;premium unleaded (required);230.0;6.0;MANUAL;Convertible;27;18;37200;BMW 1 Series 2013
Audi;100;1992;regular unleaded;172.0;6.0;MANUAL;Sedan;24;17;2000;Audi 100 1992
Audi;100;1993;regular unleaded;172.0;6.0;MANUAL;Sedan;24;17;2000;Audi 100 1993
Audi;100;1994;regular unleaded;172.0;6.0;AUTOMATIC;Wagon;21;16;2000;Audi 100 1994
FIAT;124 Spider;2017;premium unleaded (recommended);160.0;4.0;MANUAL;Convertible;35;26;27495;FIAT 124 Spider 2017
Mercedes-Benz;190-Class;1991;regular unleaded;130.0;4.0;MANUAL;Sedan;26;18;2000;Mercedes-Benz 190-Class 1991
Mercedes-Benz;190-Class;1992;regular unleaded;158.0;6.0;MANUAL;Sedan;25;17;2000;Mercedes-Benz 190-Class 1992
Mercedes-Benz;190-Class;1993;regular unleaded;130.0;4.0;MANUAL;Sedan;26;18;2000;Mercedes-Benz 190-Class 1993
BMW;2 Series;2016;premium unleaded (required);240.0;4.0;AUTOMATIC;Coupe;35;23;32850;BMW 2 Series 2016
BMW;2 Series;2017;premium unleaded (recommended);335.0;6.0;AUTOMATIC;Coupe;31;21;46450;BMW 2 Series 2017
Audi;200;1990;regular unleaded;162.0;5.0;AUTOMATIC;Sedan;20;16;2000;Audi 200 1990
Audi;200;1991;regular unleaded;217.0;5.0;MANUAL;Sedan;22;16;2000;Audi 200 1991
Chrysler;200;2015;flex-fuel (unleaded/E85);184.0;4.0;AUTOMATIC;Sedan;36;23;25170;Chrysler 200 2015
