ID_Cliente;Edad;Ingresos_Mensuales_USD;Puntuacion_Gasto;Visitas_Mensuales;Articulos_Comprados;Tiempo_Navegacion_Min;Categoria_Fidelidad
CLIENTE_0001;56;498.0;87;9;9;22.48;Oro
CLIENTE_0002;69;482.0;21;6;23;28.3;Oro
CLIENTE_0003;46;716.0;88;3;18;30.55;Plata
CLIENTE_0004;32;1763.0;68;4;29;29.18;Plata
CLIENTE_0005;60;807.0;12;8;11;33.8;Plata
CLIENTE_0006;25;572.0;22;5;43;52.29;Bronce
CLIENTE_0007;38;558.0;20;5;48;39.75;Plata
CLIENTE_0008;56;482.0;82;3;8;5.95;Bronce
CLIENTE_0009;36;1130.0;1;7;27;14.51;Bronce
CLIENTE_0010;40;635.0;30;8;2;24.19;Plata
CLIENTE_0011;28;597.0;97;6;23;57.2;Oro
CLIENTE_0012;28;4518.0;24;8;21;9.29;Bronce
CLIENTE_0013;41;796.0;14;5;10;44.06;Plata
CLIENTE_0014;70;482.0;36;6;38;6.82;Bronce
CLIENTE_0015;53;515.0;69;8;4;24.94;Bronce
CLIENTE_0016;57;1325.0;75;2;21;47.36;Plata
CLIENTE_0017;41;712.0;24;8;37;23.92;Oro
CLIENTE_0018;20;482.0;60;2;43;28.67;Bronce
CLIENTE_0019;39;1155.0;95;8;12;54.79;Plata
CLIENTE_0020;70;482.0;55;3;48;8.64;Bronce
CLIENTE_0021;19;2047.0;77;9;46;34.02;Oro
CLIENTE_0022;41;1272.0;80;7;14;25.14;Plata
CLIENTE_0023;61;509.0;24;7;20;58.01;Plata
CLIENTE_0024;47;1435.0;77;4;47;48.65;Oro
CLIENTE_0025;55;693.0;24;8;8;11.71;Bronce
CLIENTE_0026;19;1109.0;54;3;27;56.01;Bronce
CLIENTE_0027;38;890.0;26;5;37;16.62;Plata
CLIENTE_0028;50;482.0;66;3;41;9.66;Plata
CLIENTE_0029;29;482.0;80;4;21;34.79;Plata
CLIENTE_0030;39;1234.0;38;2;48;45.51;Bronce
CLIENTE_0031;61;544.0;65;2;35;44.38;Plata
CLIENTE_0032;42;522.0;75;5;44;34.37;Plata
CLIENTE_0033;66;482.0;51;9;39;32.1;Bronce
CLIENTE_0034;44;858.0;35;6;49;58.32;Plata
CLIENTE_0035;59;2293.0;43;5;15;50.13;Bronce
CLIENTE_0036;45;482.0;29;1;47;43.43;Oro
CLIENTE_0037;33;675.0;37;6;12;15.74;Bronce
CLIENTE_0038;32;1552.0;81;6;34;50.09;Bronce
CLIENTE_0039;64;634.0;58;3;8;46.24;Bronce
CLIENTE_0040;68;873.0;54;4;37;59.56;Bronce
CLIENTE_0041;61;482.0;39;4;30;12.31;Plata
CLIENTE_0042;72;860.0;42;4;3;44.34;Oro
CLIENTE_0043;69;594.0;28;5;30;58.85;Plata
CLIENTE_0044;74;1202.0;29;7;29;30.44;Bronce
CLIENTE_0045;20;1356.0;43;7;1;45.34;Bronce
CLIENTE_0046;54;3146.0;3;5;16;58.65;Bronce
CLIENTE_0047;68;942.0;10;13;42;35.11;Bronce
CLIENTE_0048;24;809.0;59;8;31;43.45;Bronce
CLIENTE_0049;38;747.0;14;2;10;6.1;Plata
CLIENTE_0050;26;538.0;76;3;30;33.58;Bronce
CLIENTE_0051;56;815.0;47;5;43;19.07;Plata
CLIENTE_0052;35;557.0;42;9;26;12.22;Plata
CLIENTE_0053;21;736.0;94;7;12;43.97;Bronce
CLIENTE_0054;42;1466.0;32;6;40;7.15;Oro
CLIENTE_0055;31;482.0;32;7;5;54.77;Bronce
CLIENTE_0056;67;1318.0;42;5;9;33.48;Bronce
CLIENTE_0057;26;1466.0;32;6;11;40.65;Oro
CLIENTE_0058;43;620.0;26;4;47;18.94;Bronce
CLIENTE_0059;70;482.0;1;3;23;15.02;Bronce
CLIENTE_0060;19;482.0;56;7;17;18.41;Bronce
CLIENTE_0061;37;1448.0;2;6;43;17.78;Bronce
CLIENTE_0062;45;656.0;81;4;13;52.55;Plata
CLIENTE_0063;64;482.0;30;5;17;48.3;Oro
CLIENTE_0064;24;491.0;71;5;23;51.9;Plata
CLIENTE_0065;61;1101.0;52;3;39;45.42;Plata
CLIENTE_0066;25;923.0;91;2;9;40.4;Plata
CLIENTE_0067;64;576.0;9;1;18;34.03;Oro
CLIENTE_0068;52;534.0;22;3;18;19.6;Plata
CLIENTE_0069;31;526.0;34;2;30;43.79;Oro
CLIENTE_0070;34;482.0;49;6;42;12.51;Bronce
CLIENTE_0071;53;1753.0;1;4;44;33.11;Bronce
CLIENTE_0072;67;548.0;73;4;26;15.74;Bronce
CLIENTE_0073;57;1381.0;84;7;18;32.76;Oro
CLIENTE_0074;21;1657.0;53;4;21;21.16;Bronce
CLIENTE_0075;19;1211.0;83;3;41;7.94;Plata
CLIENTE_0076;23;513.0;100;4;41;32.7;Plata
CLIENTE_0077;71;847.0;40;4;42;15.0;Oro
CLIENTE_0078;59;656.0;45;5;33;13.86;Plata
CLIENTE_0079;21;482.0;68;6;43;26.14;Plata
CLIENTE_0080;71;808.0;9;3;14;24.9;Oro
CLIENTE_0081;46;482.0;22;4;10;52.68;Oro
CLIENTE_0082;35;1356.0;18;3;28;36.06;Bronce
CLIENTE_0083;43;503.0;76;2;14;52.0;Oro
CLIENTE_0084;61;750.0;43;0;19;13.08;Bronce
CLIENTE_0085;51;788.0;39;5;26;24.65;Plata
CLIENTE_0086;27;569.0;73;4;10;35.54;Bronce
CLIENTE_0087;53;946.0;6;7;17;13.42;Bronce
CLIENTE_0088;31;500.0;83;1;34;12.04;Oro
CLIENTE_0089;48;1122.0;48;3;14;41.38;Plata
CLIENTE_0090;65;482.0;7;5;26;40.96;Bronce
CLIENTE_0091;32;718.0;80;5;34;17.88;Bronce
CLIENTE_0092;25;2129.0;69;7;19;17.49;Oro
CLIENTE_0093;31;482.0;16;2;24;46.0;Bronce
CLIENTE_0094;40;482.0;1;4;31;11.43;Bronce
CLIENTE_0095;74;905.0;37;4;40;55.78;Plata
CLIENTE_0096;57;741.0;83;4;6;56.91;Bronce
CLIENTE_0097;38;821.0;37;6;20;52.9;Plata
CLIENTE_0098;33;892.0;81;8;39;16.59;Bronce
CLIENTE_0099;62;973.0;64;6;45;5.92;Bronce
CLIENTE_0100;35;1294.0;90;5;34;56.52;Oro
CLIENTE_0101;64;851.0;86;3;22;23.92;Oro
CLIENTE_0102;70;576.0;62;2;7;22.07;Oro
CLIENTE_0103;41;996.0;72;7;33;19.39;Plata
CLIENTE_0104;43;2080.0;61;3;6;18.45;Bronce
CLIENTE_0105;42;614.0;33;6;16;45.4;Bronce
CLIENTE_0106;62;482.0;66;2;8;54.93;Plata
CLIENTE_0107;58;1292.0;30;7;45;48.23;Bronce
CLIENTE_0108;46;619.0;20;4;23;42.08;Bronce
CLIENTE_0109;32;482.0;60;9;18;20.83;Bronce
